,minibatch_loss,epoch_avg_loss,epoch_val_loss,learning_rate,evaluation_loss,training_confusion_matrix,validation_confusion_matrix,evaluation_confusion_matrix,train_ious,train_dices,train_precision,train_recall,train_specificity,train_sensitivity,val_ious,val_dices,val_precision,val_recall,val_specificity,val_sensitivity,test_ious,test_dices,test_precision,test_recall,test_specificity,test_sensitivity
29,,,0.9455488920211792,0.0001,,,"[[6.27869359e+01 1.71131417e+01 2.00670313e+01]
 [0.00000000e+00 1.85507315e-02 1.43404360e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.62807594 0.00108193 0.        ],[0.77155607 0.00216151 0.        ],[1.         0.00108283 0.        ],[0.62807594 0.56400344        nan],[1.         0.82881228 0.79918628],[0.62807594 0.56400344        nan],,,,,,
30,0.908196210861206,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0.908196210861206,,0.0001,,"[[8.07615068e+01 1.17164894e+01 7.45767664e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.80813492 0.00546033 0.        ],[0.89388785 0.01086135 0.        ],[1.         0.00546033 0.        ],[0.80813492 1.                nan],[1.         0.88275969 0.92542323],[0.80813492 1.                nan],,,,,,,,,,,,
32,,,0.9437726140022278,0.0001,,,"[[6.66983569e+01 1.61907196e+01 1.70780323e+01]
 [0.00000000e+00 1.85931170e-02 1.42980505e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.66720302 0.00114605 0.        ],[0.80038605 0.00228948 0.        ],[1.         0.00114706 0.        ],[0.66720302 0.5652921         nan],[1.         0.83803953 0.8290767 ],[0.66720302 0.5652921         nan],,,,,,
33,0.9080436825752258,,,,,,,,,,,,,,,,,,,,,,,,,
34,,0.9080436825752258,,0.0001,,"[[8.08556168e+01 1.15981491e+01 7.48190703e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.80907662 0.00551573 0.        ],[0.89446363 0.01097095 0.        ],[1.         0.00551573 0.        ],[0.80907662 1.                nan],[1.         0.88394385 0.92518093],[0.80907662 1.                nan],,,,,,,,,,,,
35,,,0.9422478675842285,0.0001,,,"[[6.95786935e+01 1.54262260e+01 1.49621893e+01]
 [0.00000000e+00 1.85931170e-02 1.42980505e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.69601586 0.00120273 0.        ],[0.82076575 0.00240257 0.        ],[1.         0.00120384 0.        ],[0.69601586 0.5652921         nan],[1.         0.84568698 0.85023513],[0.69601586 0.5652921         nan],,,,,,
36,0.9078894257545471,,,,,,,,,,,,,,,,,,,,,,,,,
37,,0.9078894257545471,,0.0001,,"[[8.09655084e+01 1.14768841e+01 7.49328048e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.81017625 0.00557369 0.        ],[0.89513521 0.01108559 0.        ],[1.         0.00557369 0.        ],[0.81017625 1.                nan],[1.         0.88515728 0.9250672 ],[0.81017625 1.                nan],,,,,,,,,,,,
38,,,0.9409310817718506,0.0001,,,"[[7.17975899e+01 1.47513213e+01 1.34181976e+01]
 [0.00000000e+00 1.84800890e-02 1.44110786e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.71821213 0.00124999 0.        ],[0.83599937 0.00249686 0.        ],[1.         0.00125121 0.        ],[0.71821213 0.56185567        nan],[1.         0.85243825 0.86567391],[0.71821213 0.56185567        nan],,,,,,
39,0.9077344536781311,,,,,,,,,,,,,,,,,,,,,,,,,
40,,0.9077344536781311,,0.0001,,"[[8.10852051e+01 1.13556473e+01 7.49482049e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.81137398 0.00563286 0.        ],[0.89586578 0.01120261 0.        ],[1.         0.00563286 0.        ],[0.81137398 1.                nan],[1.         0.88637043 0.9250518 ],[0.81137398 1.                nan],,,,,,,,,,,,
41,,,0.9397860765457153,0.0001,,,"[[7.35672421e+01 1.41787776e+01 1.22210891e+01]
 [0.00000000e+00 1.83388039e-02 1.45523636e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.73591447 0.0012904  0.        ],[0.8478695  0.00257748 0.        ],[1.         0.00129173 0.        ],[0.73591447 0.55756014        nan],[1.         0.85816557 0.87764359],[0.73591447 0.55756014        nan],,,,,,
42,0.9075787663459778,,,,,,,,,,,,,,,,,,,,,,,,,
43,,0.9075787663459778,,0.0001,,"[[8.12119802e+01 1.12348203e+01 7.48887239e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.81264255 0.00569309 0.        ],[0.8966385  0.01132173 0.        ],[1.         0.00569309 0.        ],[0.81264255 1.                nan],[1.         0.88757948 0.92511128],[0.81264255 1.                nan],,,,,,,,,,,,
44,,,0.938784122467041,0.0001,,,"[[7.49908023e+01 1.36825703e+01 1.12937362e+01]
 [0.00000000e+00 1.83246754e-02 1.45664922e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.75015476 0.00133606 0.        ],[0.85724391 0.00266855 0.        ],[1.         0.00133748 0.        ],[0.75015476 0.55713058        nan],[1.         0.86312928 0.88691697],[0.75015476 0.55713058        nan],,,,,,
45,0.9074238538742065,,,,,,,,,,,,,,,,,,,,,,,,,
46,,0.9074238538742065,,0.0001,,"[[8.13482496e+01 1.11130043e+01 7.47441892e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.81400612 0.00575514 0.        ],[0.89746789 0.01144441 0.        ],[1.         0.00575514 0.        ],[0.81400612 1.                nan],[1.         0.88879842 0.92525581],[0.81400612 1.                nan],,,,,,,,,,,,
47,,,0.9379024505615234,0.0001,,,"[[7.61511767e+01 1.32404751e+01 1.05754570e+01]
 [0.00000000e+00 1.82399043e-02 1.46512632e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.76176232 0.00137417 0.        ],[0.86477309 0.00274457 0.        ],[1.         0.00137569 0.        ],[0.76176232 0.55455326        nan],[1.         0.86755168 0.89409892],[0.76176232 0.55455326        nan],,,,,,
48,0.907270073890686,,,,,,,,,,,,,,,,,,,,,,,,,
